,Location,Temperature [°C],Humidity [%],Cloudiness[%],WIndspeed [kph],Latitude,Longitude
97,Cedar Grove,12.61,62,1,1.87,40.8518,-74.229
98,Sedgefield,7.52,91,100,2.68,54.6533,-1.4495
99,Provincie Utrecht,6.41,82,100,3.13,52.0,5.25
100,Science City of Muñoz,32.55,44,89,2.41,15.7333,120.8833
101,Evanston,14.84,77,40,4.12,42.0411,-87.6901
102,Washington,12.21,31,1,1.54,47.5001,-120.5015
103,Shinyanga,18.85,85,100,1.62,-3.6667,33.4333
104,Kopeysk,-4.0,74,0,4.0,55.131,61.6792
105,River Forest,14.67,77,40,4.12,41.8978,-87.814
106,Smithville,10.54,62,75,4.12,39.3869,-94.5811
107,Boscombe,5.0,65,100,2.06,54.1528,-111.43
108,Lahoysk,1.83,75,0,2.0,54.2016,27.8503
109,Monsey,11.71,77,100,1.67,41.1112,-74.0685
110,Nānākuli,26.33,51,20,5.14,21.3906,-158.1547
111,Saginaw,6.1,93,90,2.57,43.3334,-84.0333
112,Auriflama,22.08,68,39,3.19,-20.6856,-50.5547
113,Lansing,11.76,71,40,3.6,42.7325,-84.5555
114,Sprockhövel,5.84,71,100,2.76,51.35,7.25
115,Baharampur,29.22,8,0,1.92,24.1,88.25
116,Cheremkhovo,-5.26,86,40,4.19,53.1561,103.0675
117,Ashland,13.8,62,1,3.09,40.8167,-82.2665
118,Bukachacha,-1.09,83,100,4.0,52.9833,116.9167
119,Camarillo,17.25,55,1,3.6,34.2164,-119.0376
120,Dallas,22.73,64,1,4.63,32.7668,-96.7836
121,Magna,8.05,43,1,0.23,40.7091,-112.1016
122,Bordertown,19.44,63,22,2.68,-36.3167,140.7667
123,Kingston,25.73,61,20,9.77,17.997,-76.7936
124,Napa,17.92,46,0,1.63,38.4832,-122.3344
125,Ōme,16.79,72,75,8.23,35.7839,139.2431
126,Asheville,13.49,94,40,1.6,35.6009,-82.554
127,Dalkeith,8.91,85,100,2.24,55.8934,-3.0638
128,Aliso Viejo,17.98,44,0,3.64,33.565,-117.7271
129,Bodaybo,-5.47,86,70,0.67,57.8506,114.1933
130,Gōtsuchō,16.0,94,75,5.66,35.0,132.2167
131,Suolahti,0.39,100,0,2.57,62.5642,25.8536
132,Coleshill,8.35,81,75,6.69,52.4979,-1.7066
133,Novi Iskar,0.0,86,91,1.23,42.8,23.35
134,Erlangen,3.25,81,75,2.57,49.5897,11.0039
135,Abancay,13.55,93,61,1.19,-13.6339,-72.8814
136,Las Palmas,18.0,77,0,1.54,28.4204,-14.0131
137,Larvik,-0.06,75,45,2.57,59.0533,10.0352
138,Mioveni,4.7,72,83,1.81,44.9566,24.9378
139,Shebekino,1.0,86,0,3.0,50.4097,36.9136
140,"Burgdorf, Hanover",2.44,87,99,2.06,52.4463,10.0064
141,Puxi,16.9,37,0,0.72,31.5049,103.2606
142,Kimberley,10.0,87,0,3.09,-28.7323,24.7623
143,Changshu,20.2,70,0,3.62,31.6434,120.7409
144,Wallingford,10.65,66,1,3.09,41.457,-72.8232
145,Krishnanagar,28.93,21,0,0.63,23.4,88.5
146,Pembroke,1.55,80,90,2.06,45.8168,-77.1162
147,Velike Lašče,5.76,91,100,1.21,45.8322,14.6364
148,Callao,20.73,78,0,3.6,-12.0667,-77.15
149,Bli Bli,27.57,91,23,0.45,-26.6235,153.0407
150,Jessore,28.82,35,1,1.28,23.1687,89.2132
151,Antigua Guatemala,19.04,43,1,2.06,14.5611,-90.7344
152,South Fulton,17.41,100,90,5.14,36.5009,-88.8753
153,Launceston,19.34,39,75,6.17,-41.45,147.1667
154,Ijevan,-1.81,80,4,3.19,40.8783,45.1492
155,Napoleon,11.83,100,90,3.09,41.3923,-84.1252
156,Waipahu,26.44,51,20,5.14,21.3867,-158.0092
157,Willesborough,8.49,84,99,2.68,51.1416,0.8949
158,Shrīrangapattana,24.0,88,100,2.24,12.4136,76.7042
159,Pervouralsk,-4.0,68,0,4.0,56.9053,59.9436
160,Norrköping,2.65,93,90,6.17,58.5942,16.1826
161,Bilbeis,11.6,58,40,4.63,30.4204,31.5622
162,Virac,24.79,73,78,3.12,13.6333,124.2167
163,Canberra,18.65,48,40,4.12,-35.2835,149.1281
164,Lokeren,7.04,88,100,1.79,51.1154,3.963
165,Maralal,16.05,59,100,1.49,1.0968,36.698
166,Ridgefield,12.37,62,1,1.54,40.8343,-74.0088
167,Camp Pendleton South,16.43,77,1,2.57,33.2284,-117.3793
168,Taylors,16.66,82,90,1.54,34.9204,-82.2962
169,Fischamend,7.05,61,0,3.6,48.1179,16.6125
170,Rodalben,5.33,81,90,1.92,49.2394,7.6396
171,Labin,11.22,93,75,4.12,45.095,14.1197
172,Tifton,24.08,73,1,2.06,31.4505,-83.5085
173,Highland Heights,10.25,66,1,2.91,41.552,-81.4784
174,Camooweal,33.69,23,0,9.54,-19.9167,138.1167
175,Bar Harbor,1.68,80,90,2.57,44.3876,-68.2039
176,Malargüe,12.19,44,6,1.89,-35.4755,-69.5843
177,Ciudad Madero,24.0,94,40,6.17,22.2667,-97.8333
178,Mt. Pleasant,20.38,100,1,2.57,32.7941,-79.8626
179,Ankang,19.43,51,0,1.13,32.68,109.0172
180,Esbjerg,4.52,93,20,5.66,55.4667,8.45
181,Grytviken,-0.01,89,97,2.72,-54.2811,-36.5092
182,Medina,22.0,18,0,6.69,24.4686,39.6142
183,Kaiyuan,24.08,31,0,2.06,23.6977,103.3037
184,Laage,3.37,87,40,3.6,53.9333,12.35
185,Jensen Beach,23.56,88,1,3.09,27.2545,-80.2298
186,Arcueil,6.82,71,0,2.06,48.8,2.3333
187,Zhaoqing,25.56,99,93,1.13,23.0512,112.4597
188,Giresun Province,3.0,100,20,0.69,40.5,38.5
189,Silchar,26.49,17,37,2.39,24.8167,92.8
190,Hong Kong,24.71,80,21,0.45,22.2855,114.1577
191,Pabradė,5.0,87,75,5.14,55.0,25.7833
192,Vecvārkava,5.73,80,100,3.51,56.1833,26.5167
193,Torre de Moncorvo Municipality,7.22,78,49,1.53,41.1792,-7.0358
194,Inverness,8.22,76,75,5.14,57.4791,-4.224
195,Hörstel,4.06,65,0,4.12,52.3167,7.5833
196,Douglas,7.66,43,1,6.69,41.3,-96.167
197,Shakopee,2.73,87,90,2.57,44.798,-93.5269
198,Ilirska Bistrica,6.35,88,100,1.6,45.5697,14.2408
199,Malmyzh,-7.7,96,83,3.28,56.5205,50.6818
200,Somers,7.45,76,40,2.57,42.6403,-87.9104
201,Ludlow,8.67,71,75,2.06,42.1601,-72.4759
202,Estarreja Municipality,8.89,88,10,2.19,40.7546,-8.5792
203,Midland,19.76,26,40,8.75,31.9974,-102.0779
204,Nyala,21.87,16,8,10.08,12.05,24.8833
205,Logansport,12.79,87,90,5.66,40.7545,-86.3567
206,Orting,12.07,67,1,1.32,47.0979,-122.2043
207,Briton Ferry,8.59,87,100,4.47,51.6311,-3.819
208,Khomeynī Shahr,13.0,21,0,8.23,32.7002,51.5211
209,Bhakkar,23.05,39,0,2.51,31.6253,71.0657
210,Lewiston,3.66,87,90,3.09,44.1003,-70.2148
211,Schneeberg,-1.49,100,68,5.36,50.6,12.6333
212,An Nuhūd,20.47,17,1,10.53,12.7,28.4333
213,Radlje ob Dravi,5.75,91,100,0.54,46.6142,15.2264
214,Tegucigalpa,24.0,53,40,3.09,14.0818,-87.2068
215,West Point,22.72,83,40,5.66,33.6076,-88.6503
216,Schöppenstedt,2.2,89,100,1.34,52.1431,10.7745
217,Arrondissement de Saint-Brieuc,5.01,90,95,1.34,48.4167,-2.8333
218,Nicolás Flores,19.68,48,25,1.75,20.7672,-99.1517
219,Asbury Park,12.33,62,1,2.06,40.2204,-74.0121
220,Fürstenwalde,1.29,88,13,2.68,52.3667,14.0667
221,Ridgefield,12.37,62,1,1.54,40.8343,-74.0088
222,Bollington,8.12,81,75,7.2,53.2945,-2.1096
223,Itaí,18.97,87,85,0.94,-23.4178,-49.0906
224,Pomfret,15.17,72,100,0.45,38.5773,-77.0305
225,Białystok,3.89,88,86,2.69,53.1333,23.15
226,Pyhäjärvi,2.2,94,100,5.35,67.0701,27.2176
227,Phrae,29.0,65,47,3.6,18.0833,100.0
228,Rozhyshche,6.67,92,100,0.89,50.9154,25.2691
229,Guangzhou,25.51,73,75,1.0,23.1167,113.25
230,Pakruojis,4.0,81,90,5.14,55.9667,23.8667
231,Sekimachi,12.33,76,100,4.17,35.4833,136.9167
232,Niagara-on-the-Lake,5.98,87,20,2.57,43.2501,-79.0663
233,Burlington,13.41,62,1,2.57,39.8835,-74.6413
234,State College,12.5,68,6,1.74,40.7934,-77.86
235,Ełk,3.61,91,58,2.6,53.8282,22.3647
236,Niedenstein,0.0,86,100,1.03,51.2333,9.3167
237,Los Ángeles,17.0,51,0,6.17,-37.4667,-72.35
238,Fyfield,8.49,73,100,8.95,51.4167,-1.7833
239,Progress,14.76,55,1,3.6,40.2851,-76.8314
240,Alaminos,30.53,71,99,1.79,14.0639,121.2465
241,Aketi,20.88,89,50,0.95,2.7388,23.7833
242,La Chorrera,26.04,83,20,5.14,8.8803,-79.7833
243,Las Vegas,19.91,14,1,2.06,36.175,-115.1372
244,Sergach,-2.31,96,74,3.07,55.5308,45.4661
245,Dombarovskiy,-9.97,96,77,3.38,50.7587,59.5386
246,Köniz,0.73,100,0,0.51,46.9244,7.4146
247,Lilongwe,17.24,93,66,0.46,-13.9669,33.7873
248,Kagadi,16.11,93,84,1.6,0.9606,30.7967
249,Baisha,22.59,78,60,0.83,26.5222,110.9311
250,Oederan,1.11,87,14,3.37,50.8667,13.1667
251,Shamva,17.2,82,10,1.38,-17.3116,31.5756
252,Kirby,25.63,47,20,1.54,29.4633,-98.3856
253,St Louis,14.75,99,93,1.79,38.6273,-90.1979
254,Negreşti-Oaş,5.69,65,91,3.6,47.8667,23.4333
255,La Louvière,5.97,86,100,2.68,50.4735,4.1563
256,Departamento de Canelones,19.14,88,75,2.06,-34.6444,-56.2886
257,Senglea,13.77,88,20,4.63,35.8875,14.5169
258,Santa Monica,16.72,82,1,1.54,34.0195,-118.4912
259,Kitchener,3.77,87,75,6.17,43.4254,-80.5112
260,Macenta,21.09,95,47,1.04,8.5435,-9.471
261,Hayes,9.03,76,75,6.69,51.5158,-0.4234
262,Hughenden,32.0,33,3,5.66,-20.85,144.2
263,Ypacaraí,22.0,100,90,1.03,-25.4047,-57.2858
264,Draveil,6.87,71,0,2.06,48.6847,2.4142
265,Baie-Comeau,-3.0,63,1,4.63,49.2168,-68.1489
266,Harwood Heights,14.76,77,40,4.12,41.9673,-87.8076
267,Ébolowa,20.66,94,100,0.6,2.9,11.15
268,Haiger,0.15,81,100,0.45,50.75,8.2167
269,Laval,3.13,70,100,1.03,45.57,-73.692
270,Svrljig,6.37,61,0,3.09,43.4133,22.1211
271,Golden Glades,25.48,78,75,5.66,25.9118,-80.2003
272,Tiffin,13.43,70,80,3.97,41.1145,-83.178
273,Mozambique,26.91,78,63,2.87,-15.0342,40.7358
274,Canton of Neuchâtel,-0.37,86,14,1.03,46.9167,6.8333
275,Chudovo,1.54,87,97,3.08,59.1167,31.6833
276,White Horse,14.44,58,1,4.63,40.1907,-74.7024
277,Lexington,16.32,77,1,4.12,37.9887,-84.4777
278,Porirua,19.32,71,50,4.47,-41.1333,174.85
279,Highland Park,9.08,87,90,3.99,42.1817,-87.8003
280,Zhubei,26.99,66,1,0.89,24.8383,121.0078
281,Gulfport,22.89,94,90,4.12,30.3674,-89.0928
282,Rochelle Park,12.49,62,1,1.54,40.9073,-74.0751
283,Arrondissement de Saumur,2.32,100,0,1.03,47.3333,-0.25
284,Tomball,24.44,73,75,5.14,30.0972,-95.6161
285,Hammond,12.34,94,90,4.12,41.5834,-87.5
286,Aller,7.78,95,1,2.37,43.1187,-5.5839
287,Talent,22.0,20,1,0.58,42.2457,-122.7887
288,Tychy,2.8,95,97,1.79,50.1372,18.9664
289,Cabo San Lucas,20.73,68,20,4.12,22.8909,-109.9124
290,Sanatoga,13.56,62,1,2.65,40.2451,-75.5952
291,Okha,-2.76,80,11,5.91,53.5739,142.9478
292,Yelabuga,-4.0,68,0,6.0,55.7613,52.0649
293,Lauterbach,1.35,86,100,2.07,50.6333,9.4
294,Collins,23.41,88,20,3.09,31.6454,-89.5554
295,Zhoushan,20.56,74,19,2.98,30.0108,122.2047
296,Phoenix,23.02,16,20,5.14,33.4484,-112.074
297,Ebreichsdorf,7.34,61,0,3.6,47.95,16.4
298,Lebanon,16.59,100,90,5.28,36.2081,-86.2911
299,Higashiyamato,16.79,72,75,8.23,35.7409,139.4288
300,Raub,27.53,77,27,0.71,3.7899,101.857
301,Nairobi,18.0,72,40,3.6,-1.2833,36.8167
302,Lynnfield,5.86,81,1,6.17,42.539,-71.0481
303,North Salt Lake,8.71,43,1,0.85,40.8486,-111.9069
304,St. Pete Beach,23.31,78,20,2.72,27.7253,-82.7412
305,Maywood,18.48,55,1,3.7,33.9867,-118.1853
306,Visselhövede,0.56,88,99,3.91,52.9833,9.6
307,San Martín,17.0,55,0,1.03,-33.081,-68.4681
308,Abensberg,4.88,70,100,1.03,48.8167,11.85
309,Lukavac,8.94,87,75,0.51,44.5334,18.527
310,Arandu,19.47,80,91,0.7,-23.1344,-49.0539
311,Cafelândia,21.8,84,97,3.33,-21.8025,-49.61
312,Morinville,6.89,61,40,5.14,53.8001,-113.652
313,Siġġiewi,13.77,88,20,4.63,35.8556,14.4364
314,Williamson,21.53,73,1,3.18,30.6502,-97.6003
315,Slaton,15.0,38,75,7.2,33.4373,-101.6435
316,Pineville,23.42,88,90,3.6,31.3224,-92.4343
317,Whitworth,6.82,92,100,0.89,53.656,-2.1771
318,Dumas,8.83,53,1,2.57,35.8656,-101.9732
319,Yancheng,18.55,67,0,5.45,33.3856,120.1253
320,Davie,25.46,73,75,4.63,26.0629,-80.2331
321,Brakpan,12.89,74,92,2.68,-26.2366,28.3694
322,Ploče,12.0,58,0,3.09,42.6406,18.1217
323,Wasco,22.48,26,1,4.63,35.5941,-119.341
324,Bad Urach,3.82,75,0,3.09,48.4911,9.4001
325,Mazari Sharif,14.0,100,90,5.66,36.709,67.1109
326,Fuding,24.22,73,46,1.32,27.3273,120.214
327,South San Gabriel,19.22,55,1,2.87,34.0625,-118.0903
328,Trujillo Alto,23.21,73,20,6.17,18.3547,-66.0074
329,Lod,12.67,67,75,1.54,31.9514,34.8953
330,Salford,9.1,81,75,7.2,53.4877,-2.2904
331,Laibin,25.05,78,84,2.56,23.7,109.2667
332,Sèvres,6.75,70,0,2.06,48.8229,2.2176
333,Arrondissement de Montauban,4.26,81,0,1.03,44.0833,1.5
334,Bègles,4.75,93,0,2.07,44.8084,-0.5481
335,Bayou Cane,24.06,88,75,4.12,29.6241,-90.7512
336,Cosalá,17.78,85,88,0.45,24.4125,-106.6908
337,Toledo,11.35,71,0,1.54,39.8333,-4.0
338,Paso Robles,16.73,30,1,3.6,35.6266,-120.691
339,Madison,21.99,73,75,3.78,34.7334,-86.5667
340,Sooke,8.98,83,100,8.75,48.3746,-123.7276
341,North Reading,5.67,81,1,6.17,42.5751,-71.0787
342,Powdersville,17.07,94,90,3.09,34.7918,-82.4929
343,Samara Oblast,-1.0,74,0,5.0,53.0,50.0
344,Fenton,11.59,62,20,3.6,42.7978,-83.7049
345,Kirkland,11.35,62,90,1.54,47.6815,-122.2087
346,Wood-Ridge,12.57,62,1,1.54,40.8457,-74.0879
347,Lamesa,14.72,45,99,1.79,32.7376,-101.951
348,Bad Vöslau,7.23,57,47,2.24,47.9653,16.2136
349,Affton,14.74,97,98,4.92,38.5506,-90.3332
350,Alquízar,23.94,78,20,2.06,22.8058,-82.5842
351,Kamennogorsk,1.87,86,100,1.79,60.9545,29.1339
352,Baharampur,29.22,8,0,1.92,24.1,88.25
353,Roseburg North,17.29,24,1,2.06,43.2645,-123.3033
354,Ottawa,3.13,75,75,3.09,45.4112,-75.6981
355,Foothill Farms,21.28,32,1,3.09,38.6788,-121.3511
356,Ichalkaranji,26.28,38,71,2.56,16.7,74.4667
357,Joshua Tree,16.9,17,0,0.45,34.1347,-116.3131
358,Menton,11.82,87,40,2.06,43.7765,7.5044
359,Chos Malal,16.72,28,0,1.66,-37.3781,-70.2709
360,Eldridge,9.62,81,75,7.2,41.6581,-90.5846
361,Feltham,9.08,76,40,7.2,51.4442,-0.4107
362,Yate,9.07,82,100,1.79,51.5407,-2.4184
363,Egvekinot,-21.15,93,96,0.98,66.3167,-179.1667
364,Lillesand,2.2,93,75,1.03,58.2488,8.3778
365,Domodedovo,-3.05,86,0,1.0,55.4422,37.7583
366,Lake Charles,23.19,88,90,6.17,30.2131,-93.2044
367,North Kensington,16.0,55,1,3.09,39.0304,-77.0725
368,Geelong,19.45,55,75,7.2,-38.1471,144.3607
369,Wenling,18.19,98,100,2.38,28.3669,121.36
370,Solothurn,1.71,93,0,0.51,47.2079,7.5371
371,Saratoga,5.26,72,56,0.97,43.1001,-73.8496
372,Saalfeld,-0.18,89,100,2.21,50.65,11.3667
373,Varvarin,6.3,61,0,3.09,43.724,21.3624
374,Abong Mbang,20.8,77,94,1.28,3.9833,13.1833
375,Sopron,6.83,61,0,3.6,47.685,16.5905
376,Ondjiva,18.51,89,55,2.13,-17.0667,15.7333
377,Witzenhausen,-0.3,87,100,1.79,51.3333,9.8667
378,Auburn,11.54,62,75,1.54,47.3073,-122.2284
379,Belmar,12.41,62,1,2.06,40.1785,-74.0218
380,Shiranuka,5.0,75,75,1.54,43.0079,144.0384
381,Parma,8.71,72,64,0.45,44.8027,10.329
382,Samobor,10.52,58,90,3.6,45.8031,15.7181
383,Bāniyās,6.0,75,0,2.57,35.1819,35.9487
384,Wyandanch,10.88,66,1,2.57,40.754,-73.3604
385,Pea Ridge,16.07,80,97,0.89,38.414,-82.3199
386,West Babylon,10.7,66,1,2.57,40.7182,-73.3543
387,Dolneni,1.0,86,0,0.51,41.4253,21.4547
388,Bloomingdale,23.59,69,75,0.87,27.8936,-82.2404
389,Axapusco,25.0,25,40,4.12,19.7333,-98.75
390,Le Cannet,11.32,93,20,1.54,43.5766,7.0191
391,Horbury,8.68,82,100,6.26,53.6605,-1.5601
392,Năvodari,3.0,75,0,2.06,44.3167,28.6
393,Byaroza,6.36,90,100,4.49,52.5314,24.9786
394,Hopedale,7.57,75,75,1.52,42.1307,-71.5412
395,Floresville,26.55,50,1,2.57,29.1336,-98.1561
396,San Fernando,30.0,62,40,1.03,15.0286,120.6898
397,Kenora,-1.0,47,75,3.09,49.8167,-94.4337
398,Emiliano Zapata,30.0,19,40,1.03,18.8333,-99.1833
399,Seacroft,8.91,33,100,1.79,53.8221,-1.458
400,Fontenay-sous-Bois,8.64,66,90,2.57,48.85,2.4833
401,Batouri,22.18,70,24,0.89,4.4333,14.3667
402,Littlestown,14.81,63,1,3.09,39.7445,-77.088
403,Hashimoto,17.4,72,75,8.23,34.3167,135.6167
404,Louvain-la-Neuve,5.08,70,75,4.63,50.6683,4.6144
405,Shiroishi,13.68,62,75,2.06,38.0033,140.6183
406,Parma,8.71,72,64,0.45,44.8027,10.329
407,Dickinson,23.35,88,90,2.57,29.4608,-95.0513
408,Pereiras,24.0,73,20,3.6,-22.3667,-47.7
409,Brunswick,11.88,75,76,3.89,41.2381,-81.8418
410,Hornchurch,8.96,76,75,5.14,51.5569,0.2166
411,Tierra Colorada,27.0,69,1,1.54,17.1667,-99.5833
412,Río Cuarto,8.71,89,5,1.79,-33.1307,-64.3499
413,Zlatna,1.0,80,40,1.54,46.1167,23.2167
414,Mbeya,14.54,92,99,0.91,-8.9,33.45
415,Branford,10.13,76,1,1.54,41.2795,-72.8151
416,Dryanovo,0.92,100,99,1.83,42.979,25.4785
417,Dubuque,8.93,87,75,10.29,42.4833,-90.8668
418,Waldwick,12.25,58,1,1.54,41.0107,-74.1179
419,Friern Barnet,9.0,76,75,5.14,51.6128,-0.1586
420,Shildon,7.32,72,100,3.58,54.63,-1.643
421,Balyqshy,-1.0,100,86,4.0,47.0667,51.8667
422,Kōnan,12.36,76,100,5.2,35.3317,136.8704
423,Savoy,0.16,77,6,2.24,45.5,6.4167
424,Rodalben,5.33,81,90,1.92,49.2394,7.6396
425,Frederick,15.73,59,1,3.6,39.4668,-77.3997
426,San Jacinto de Buena Fe,23.49,92,65,1.39,-0.9,-79.4833
427,Thérmi,7.96,57,70,0.45,40.5471,23.0197
428,Dubna,0.05,91,100,0.78,56.7333,37.1667
429,Alabel,27.0,78,90,2.06,6.1018,125.2905
430,Olenegorsk,1.29,98,100,5.63,68.15,33.3
431,Bad Iburg,4.07,65,0,4.12,52.1549,8.0422
432,New Prague,2.4,92,100,2.24,44.5433,-93.5761
433,Hokuto,10.0,71,75,4.12,41.8848,140.639
434,Yorba Linda,21.22,28,1,3.6,33.8886,-117.8131
435,Cottbus,2.29,85,8,2.24,51.7667,14.3333
436,Malanje,16.27,97,22,1.38,-9.5402,16.341
437,Rishon LeZiyyon,12.64,67,75,1.54,31.9642,34.8044
438,Calverton,15.82,55,1,3.09,39.0576,-76.9358
439,Skadowsk,3.94,93,74,1.0,46.1161,32.9112
440,Sam Phran,31.47,75,100,3.58,13.727,100.2153
441,Barra Bonita,22.73,69,20,3.09,-22.4947,-48.5581
442,Hearst,-1.0,69,100,0.51,49.6835,-83.6665
443,Lipník nad Bečvou,0.43,86,89,0.89,49.5272,17.5859
444,Hybla Valley,15.67,63,1,2.57,38.7476,-77.083
445,Oldenburg in Holstein,3.33,90,77,2.68,54.3,10.8833
446,Mendeleyevsk,-4.0,68,0,6.0,55.9082,52.2905
447,Qingping,20.07,68,0,1.28,29.0282,110.2281
448,Hezuo,7.86,32,2,2.81,34.9856,102.9094
